Variable Name,Units,Definition,Type,Comments,Possible Scenario Grouping
FS.Class_Attr_Hay,Unitless,total attractiveness for hay (vs perennial cellulosic energy crops and annual crops -with/without residue production).  Part of nested logit approach to land allocation. Nest is necessary to prevent red bus-blue bus problem in land allocation logic,array | internal calculation,,
FS.Class_Attr_PCEC,Unitless,total attractiveness for perennial cellulosic energy crops (vs hay and annual crops with/without residue production).  Part of nested logit approach to land allocation. Nest is necessary to prevent red bus-blue bus problem in land allocation logic,array | internal calculation,,
FS.Class_Pref_Share_to_Annual,Unitless,"calculates preference share of regional land to be allocated to the class of all annual (commodity) crops vs hay, perennial cellulosic energy crop.  Part of nested logit logic",array | internal calculation,,
FS.Class_pref_share_to_PCEC,Unitless,"calculates preference share of regional land to be allocated to the class of all perennial cellulosic energy crops vs annual (commodity) crops, hay.  Part of nested logit logic",array | internal calculation,,
FS.climate_factor_forest_residue,Unitless,scenario for capturing climate impacts on regional forest residue production,array | graphical function | scenario input,,Climate Change
FS.commodity_crop_production_ag_system,million-units/yr,calculates total (summed across all regions) annual (commodity) crop production,array | module interface,,
FS.composite_per_acre_grower_payment,dollars per acre per yr,"calculates a weighted average of grower payment based on the overall distribution of crop land among commodity crops, hay, and cellulosic feedstocks within each region",array | internal calculation,,
FS.Crop_Land_Removed_from_Production,thousand acres,calculates cumulative crop land removed from production due to economic considerations,array | internal calculation,,
FS.crop_rel_to_init,Unitless,calibration input used to compare logit-driven long term distribution of active cropland to annual (commodity) crops vs the initial distribution of active crop land,array | internal calculation,,
FS.crop_switches,Unitless,0-1 switches used to make active annual (commodity) crops in each region,array | constant,,
FS.Cropland_PCEC_est_land_end,acre/yr,outflux from conveyor used to track BCAP establishment acres in the GP module,array | internal calculation,,
FS.Cropland_PCEC_Establish_acres,acres,conveyor used to track BCAP establishment acres in the GP module,array | module interface,,
FS.Cropland_PCEC_land_start,acre/yr,influx to conveyor used to track BCAP establishment acres in the GP module,array | internal calculation,,
FS.cropland_removal_rate,1/yr,translated economic considerations into a fractional removal of cropland from production,array | internal calculation | graphical function | scenario input,,
FS.CRP_Acres_Hvsted_for_HC,acres,calculates conservation reserve program (CRP) acres harvested for herbaceous cellulosic energy crops,array | internal calculation | sector interface,,
FS.CRP_Acres_NOT_Hvsted_for_HC,acres,calculates conservation reserve program (CRP) acres that are not harvested for herbaceous cellulosic energy crops,array | internal calculation,,
FS.CRP_Land_by_Region,thousand acres,stock that tracks total conservation reserve program (CRP) land in the system,array | internal calculation,,
FS.dealloc_rate_Annual,per year,fraction of land allocated to annual (commodity) crops that is &quot;deallocated&quot; and amenable to switching to other uses each year. Higher rates of deallocation --&gt; greater inventory/pricing instability,array | constant | assumed values,,
FS.dealloc_rate_Cell_in_Prodn,per year,calculated rate of deallocation of land that is production of perennial cellulosic energy crops,array | internal calculation,,
FS.deallocating_Annual,per year,flow of land  deallocation from annual (commodity) crop production and thus amenable to re-allocation to other crops,array | internal calculation,,
FS.deallocating_Cell,per year,flow of land  deallocation from perennial cellulosic energy crop production and thus amenable to re-allocation to other crops,array | internal calculation | sector interface,,
FS.deallocating_pasture,per year,flow of land  deallocation from pasture and thus amenable to re-allocation to perennial cellulosic energy crop production,array | internal calculation | sector interface,,
FS.deallocating_pasture_PCEC,per year,flow of land  deallocation from perennial cellulosic energy crop production and thus amenable to re-allocation to pasture,array | internal calculation | sector interface,,
FS.deallocating_YPA,ton/(acre-yr^2),co-flow structure used to track &quot;on the field&quot; yields for herbaceous cellulosic energy crops,array | internal calculation,,
FS.deallocating_YPA_P,ton/(acre-yr^2),co-flow structure used to track &quot;on the field&quot; yields for herbaceous cellulosic energy crops,array | internal calculation,,
FS.feedstock_pipeline_ag_system,million-ton/yr,regional rollup of potential cellulosic production represented by acres in development,array | module interface,,
FS.feedstock_prodn,million-ton/yr,"calculates (by region and by feedstock type) total feedstock production from agricultural, urban, and forest systems",array | internal calculation,,
FS.feedstock_production_ag_system,million-ton/yr,calculates (by region and by feedstock type) total feedstock production from agricultural system,Array | Internal Calculation | Module Interface,,
FS.feedstock_production_forest_system,million-ton/yr,calculates (by region and by feedstock type) total feedstock production from forest system,Array | Internal Calculation | Module Interface,,
FS.feedstock_production_urban_system,million-ton/yr,calculates (by region and by feedstock type) total feedstock production from urban system,Array | Internal Calculation | Module Interface,,
FS.floor_for_migrate_able_Pasture_land,thousand acres,calculates amount of pasture land that is not migrateable into active cropland,array | internal calculation,,
FS.floor_for_migrateable_CRP_land,thousand acres,calculates amount of conservation reserve program (CRP) land that is not migrateable into active cropland,array | internal calculation,,
FS.Floor_for_old_practice,Unitless,defines fraction of producers who are not susceptible to moving to new ag practices around production of cellulosic feedstocks,array | internal calculation,,
FS.forage_prodn_from_pasture_land,thousand ton per yr,calculates total forage production from pasture land,array | module interface,,
FS.forest_residue_prodn_by_region,million-ton/yr,"calculates forest residue production after accounting for transport and storage efficiency, weather, and climate",array | internal calculation,,
FS.forest_residue_transport_storage_efficiency_factor,unitless,module interface to FL.urban residue transport storage efficiency factor,array | module interface,,
FS.frac_Cell_in_Dev_PCT_harvestable,Unitless,assumed fraction of acres in development of  cellulosic energy crops that can be harvested,array | constant | technoeconomic input,,
FS.Frac_Cell_Land_Harvested,Unitless,Fraction of land allocated to perennial energy crops (woody/herbaceous) land that is harvested each year,array | internal calculation,,
FS.Frac_CRP_land_Hvested_for_HC,Unitless,calculates fraction of conservation reserve program (CRP) land that is harvested for herbaceous cellulosic feedstocks,array | internal calculation,,
FS.frac_CRP_land_NOT_migrateable,Unitless,assumed fraction of conservation reserve program (CRP) land that is not migrateable into the active crop land base,scalar | constant | assumed value | scenario input,,
FS.frac_dealloc_pasture,per year,rate at which pasture land is deallocated and thus becomes available to re-allocate to perennial cellulosic energy crops,scalar | constant | assumed value | scenario input,,
FS.frac_dealloc_pasture_Cell,per year,calculated rate of deallocation of land that is production of perennial cellulosic energy crops,array | internal calculation,,
FS.Frac_harvestable_CRP_land_Harvested_for_HC,Unitless,"estimated fraction of harvestable conservation reserve program (CRP) land that is amenable to be harvested, that actually is harvested for cellulosic feedstocks",array | graphical function | scenario input,,
FS.Frac_HC_Harvested,Unitless,fraction of herbaceous cellulosic acres in production that are actually harvested each year. Default = 1,scalar | constant,,
FS.Frac_HC_Harvested_Pasture,Unitless,"fraction of herbaceous cellulosic acres, on pasture land, in production that are actually harvested each year. Default = 1",scalar | constant,,
FS.frac_movement_to_New_Practice_from_cell_energy_crop,per year,relates cellulosic grower payment per acre to the rate at which producers become new practice producers,array | graphical function | scenario input,,
FS.frac_movement_to_new_practice_from_residue,per year,relates residue grower payment per acre to the rate at which producers decide to become new practice producers,array | graphical function | scenario input,,
FS.Frac_Pasture_Cell_Land_Harvested,Unitless,Fraction of land allocated to perennial energy crops (woody/herbaceous) land that is harvested each year,array |  internal calculation,,
FS.frac_Pasture_Land_in_Pasture_Harvested_for_Cellulose,Unitless,Fraction of land allocated to pasture that is harvested for herbaceous cellulosic feedstocks each year,array | internal calculation,,
FS.frac_Pasture_Land_NOT_migrateable,Unitless,assumed fraction of pasture land that is not amenable to becoming active crop land,scalar | constant | assumed value | scenario input,,
FS.frac_potential_residue_prodn_obtained_from_price,Unitless,relates per-acre grower payment to actual harvest of residues from agricultural lands,array | graphical function | scenario input,,
FS.Frac_WC_Harvest_Cell_Land,Unitless,assumed relationship between per-acre grower payment and harvest rate for mature woody cellulosic crops,array | graphical function | assumed values | scenario input,,
FS.Frac_WC_Harvest_Pasture,Unitless,assumed relationship between per-acre grower payment and harvest rate for mature woody cellulosic crops,array | graphical function | assumed values | scenario input,,
FS.Fraction_Elligible_for_Cellulosics,Unitless,"sets the portion of regional producers who potentially could be producers of cellulosic feedstocks within the region, given the requirement for feedstock shed area implied by the current state of industry development",array | graphical function | internal calcualtion,,
FS.GPPA_Hay,dollars per acre per yr,module interface to GP.Net Hay GPPA,array | module interface,,
FS.GPPA_no_Res,dollars per acre per yr,module interface to GP.Tot Annual GPPA no Res,array | module interface,,
FS.GPPA_Pasture_as_Cellulose,dollars per acre per yr,module interface to GP.Ann Net Pasture as Cellulose GPPA,array | module interface,,
FS.GPPA_Pasture_as_Forage,dollars per acre per yr,module interface to GP.Ann Net Pasture as Pasture GPPA,array | module interface,,
FS.GPPA_PCEC,dollars per acre per yr,module interface to GP.Ann Net PCEC GPPA,array | module interface,,
FS.GPPA_PCEC_Pasture,dollars per acre per yr,module interface to GP.Ann Net PCEC GPPA Pasture,array | module interface,,
FS.GPPA_with_Res,dollars per acre per yr,"calculated per-acre grower payment for annual (commodity) crops, considering crop and residue sales",array | internal calculation,,
FS.Harvest_from_CRP_Land,Unitless,0-1 switch enabling harvest of cellulosic feedstock from conservation reserve program (CRP) land,scalar | constant | scenario input,,
FS.hay_prodn_from_ag_land,thousand ton per yr,calculates production of hay from agricultural land,array | module interface,,
FS.hay_rel_to_init,Unitless,calibration input used to compare logit-driven long term distribution of active cropland to hay vs the initial allocation,array | internal calculation,,
FS.Hay_YPA,ton per acre per yr,module interface to GP.Pasture YPA,array | module interface,,
FS.HC_harvest_storage_efficiency_factor,unitless,module interface to FL.HC harvest storage efficiency factor,array | module interface,,
FS.HC_prodn_CRP,million-ton/yr,calculates total herbaceous cellulosic energy crop production from conservation reserve program (CRP) land,array | internal calculation,,
FS.HC_YPA_pasture_by_yr,ton per acre per yr,module interface to GP.Pasture PCEC YPA by year,array | module interface,,
FS.HS_wtd_HC_YPA_by_yr,ton per acre per yr,module interface to GP.PCEC YPA by year,array | module interface,,
FS.inc_total_HC_YPA,ton/(acre-yr^2),part of co-flow structure used to track &quot;on the field&quot; yields for herbaceous cellulosic energy crops,array | internal calculation,,
FS.incr_tot_HC_YPA_P,ton/(acre-yr^2),part of co-flow structure used to track &quot;on the pasture&quot; yields for herbaceous cellulosic energy crops,array | internal calculation,,
FS.indic_forest_residue_prodn_by_region,million-ton/yr,ORNL-derived supply curve relating per-ton grower payment to regional forest residue production,array | graphical function,,FS Module Inputs
FS.indic_net_annual_change_pasture_Cell,per year,calculates desired annual movement of pasture land into perennial cellulosic energy crop production,array | internal calculation,,
FS.indicated_net_yrly_change_Cell,per year,calculates desired annual movement of active cropland into perennial cellulosic energy crop production,array | internal calculation,,
FS.initial_Active_Cropland_by_region,thousand acres,calculated initial value for active cropland,array | internal calculation | sector interface,,
FS.INITIAL_CRP_land_by_region,thousand acres,"initial value for conservation reserve program (CRP) land, by region",array | constant,,
FS.initial_Hay_Land_by_region,thousand acres,"initial value for hay land, by region",array | constant,,
FS.initial_land_distns_by_crop_by_region,thousand acres,"initial value for annual (commodity) crop land, by  annual crop and by region",array | constant,,
FS.INITIAL_pasture_land_by_region,thousand acres,"initial value for pasture land, by region",array | constant,,
FS.Initial_Pasture_PCT_in_Pasture,Unitless,initial fraction of pasture land that is used for pasture (vs cellulosic energy crops),array | constant,,
FS.Initial_PCT_land_Annual,Unitless,calculates initial distribution of active crop land that is allocated to annual crop production.,array | internal calculation,,
FS.Initial_PCT_land_Hay,Unitless,calculates initial distribution of active crop land to hay,array | internal calculation,,
FS.K,Unitless,"Assumed non-$-based utility component of attractiveness for each annual (commodity crop) in each region.  Used to calibrate model against USDA, ORNL inptu data",scalar | Constant | assumed value,,
FS.L_Annual_no_Res,Unitless,Part of nested logit calculation used as input to calculation of &quot;class&quot; attractiveness.,array | internal calculation,,
FS.L_Annual_with_Res,Unitless,Part of nested logit calculation used as input to calculation of &quot;class&quot; attractiveness.,array | internal calculation,,
FS.L_Hay,Unitless,Part of nested logit calculation used as input to calculation of &quot;class&quot; attractiveness.,array | internal calculation,,
FS.L_PCEC,Unitless,Part of nested logit calculation used as input to calculation of &quot;class&quot; attractiveness.,array | internal calculation,,
FS.lambda_annual,Unitless,nested logit parameter used to capture &quot;elasticity&quot; of class attractiveness as individual elements of attractiveness change,scalar | constant | assumed value,,
FS.lambda_hay,Unitless,nested logit parameter used to capture &quot;elasticity&quot; of class attractiveness as individual elements of attractiveness change,scalar | constant | assumed value,,
FS.lambda_PCEC,Unitless,nested logit parameter used to capture &quot;elasticity&quot; of class attractiveness as individual elements of attractiveness change,scalar | constant | assumed value,,
FS.land_available_for_Crop_and_Cellulose,thousand acres,"total active cropland available for annual (commodity) crops and perennial cellulosic energy crops, after accounting for hay land",Array | Sector Interface | Module Interface,,
FS.Land_Distn_Annual_PCT,Unitless,stock that tracks the fraction of active cropland that is allocated to production of annual (commodity) crops,array | internal calculation | sector interface,,
FS.Land_Gap_Pasture_Cell,Unitless,algebraic gap between actual and target (based on logit allocation) distribution of pasture land to perennial cellulosic energy crops,array | internal calculation,,
FS.Land_Weighted_Net_Residue_GPPA,dollars per acre per yr,weights residue grower payment per acre by % of land that is in residue-producing crops,array | internal calculation,,
FS.Land_Weighted_Net_Residue_YPA,ton per acre per yr,weights residue grower payment per acre by % of land that is in residue-producing crops,array | internal calculation,,
FS.land_wtd_Annual_GPPA,dollars per acre per yr,calculates a weighted grower payment for commodity crops based on distribution of crops within a region,array | internal calculation,,
FS.land_wtd_Hay_GPPA,dollars per acre per yr,calculates a weighted grower payment for hay based on distribution hay within a region,array | internal calculation,,
FS.land_wtd_PCEC_GPPA,dollars per acre per yr,calculates a weighted grower payment for perennial cellulosic energy crops based on distribution of those crops within a region,array | internal calculation,,
FS.Mature_Cell_YPA,ton per acre per yr,calculates &quot;roadsided&quot; yield for mature perennial cellulosic energy crops,array | sector interface,,
FS.Mature_Cell_YPA_Pasture,ton per acre per yr,calculates &quot;roadsided&quot; yield for mature perennial cellulosic energy crops grown on pasture land,array | sector interface,,
FS.Mature_HC_YPA_CRP,ton per acre per yr,calculates &quot;roadsided&quot; yield for herbaceous cellulosic crops harvested from conservation reserve program (CRP) land,array | sector interface,,
FS.Mature_HC_YPA_Pasture,ton per acre per yr,mature crop yield for herbaceous cellulosic energy crops that are planted on pasture in current simulation time,array | internal calculation,,
FS.Mature_PCEC_YPA_field,ton per acre per yr,calculates &quot;on the field&quot; yield for mature perennial cellulosic energy crops before accounting for harvest and storage losses,array | internal calculation,,
FS.Mature_PCEC_YPA_Pasture,ton per acre per yr,"calculates &quot;on the field&quot; yield for mature perennial cellulosic energy crops from pasture, before accounting for harvest and storage losses",array | internal calculation,,
FS.maturing_Cell,per year,flux of perennial cellulosic energy crop land from &quot;developing&quot; to &quot;mature&quot; status,array | internal calculation,,
FS.maturing_cell_p,ton/(acre-yr^2),part of co-flow structure tracking herbaceous cellulosic energy crop yield changes. Tracks yield changes from developing to mature status,array | internal calculation,,
FS.maturing_pasture_PCEC,per year,flux of perennial cellulosic energy crop land from &quot;developing&quot; to &quot;mature&quot; status,array | internal calculation,,
FS.maturing_YPA,ton/(acre-yr^2),part of co-flow structure tracking herbaceous cellulosic energy crop yield changes. Tracks yield changes from developing to mature status,array | internal calculation,,
FS.Max_Frac_CRP_Harvestable_for_HC,Unitless,assumed maximum fraction of conservation reserve program (CRP) land that is available to be harvested for herbaceous cellulosic feedstocks,array | constant | scenario input,,
FS.max_GPPA_from_cellulosic_energy_crop,dollars per acre per yr,"sets potential grower payent per acre for cellulosic energy crops, within each region--used as a driver of movement to &quot;new practice&quot; producers",array | internal calculation,,
FS.Migrate_able_Pasture_Land,thousand acres,calculates land base that potentially can be migrated from pasture land to active crop land,array | internal calculation,,
FS.Migrateable_CRP_Land,thousand acres,calculates land base that potentially can be migrated from conservation reserve program (CRP) land to active crop land,array | internal calculation,,
FS.migrating_from_CRP_to_active,acres-thousand/yr,flow of land migration from conservation reserve program (CRP) land to active crop land,array | internal calculation,,
FS.migrating_from_Pasture_to_Active_Crop_Land,acres-thousand/yr,flow of land migration from pasture land to active crop land,array | internal calculation,,
FS.migration_rate_from_Pasture_to_Active_Crop_Land,per year,sets annual rate of movement of migrateable pasture land into active cropland. Set to 0 in default,array | constant | scenario input,,
FS.Move_CRP_Land_to_Active_Land,Unitless,0-1 switch that activates movement of conservation reserve program (CRP) land into active cropland base,scalar | constant | scenario input,,
FS.Move_Pasture_Land_to_Active_Land,Unitless,0-1 switch that activates movement of pasture land into active cropland base,scalar | constant | scenario input,,
FS.moving_to_new_practice,per year,flow representing transition of producers from &quot;old practice&quot; to &quot;new practice&quot; that includes cellulosic feedstock production,array | internal calculation,,
FS.Net_Residue_GPPA,dollars per acre per yr,module interface to GP.Net Residue GPPA,array | module interface,,
FS.net_residue_YPA,ton per acre per yr,"calculates aggregate-average residue yield, accounting for the portion of producers who are producing residues",array | module interface,,
FS.New_Practice_Producers_PCT_by_Region,Unitless,stock that tracks the fraction of producers who are &quot;new practice&quot; that includes cellulosic feedstock production,array | sector interface,,
FS.Non_Mature_Cell_Acres,acres,total active cropland acres that are allocated to non-mature perennial cellulose energy crops,array | internal calculation,,
FS.Non_Mature_Cell_Acres_in_Prodn,acres,total active cropland acres that are allocated to non-mature perennial cellulose energy crops and are producing cellulosic feedstocks,array | internal calculation | sector interface,,
FS.Non_Mature_Cell_Acres_in_Prodn_Pasture,acres,total pasture acres that are allocated to non-mature perennial cellulose energy crops and are producing cellulosic feedstocks,array | internal calculation | sector interface,,
FS.Non_Mature_Cell_Acres_pasture,acres,total pasture acres that are allocated to non-mature perennial cellulose energy crops,array | internal calculation,,
FS.Non_Mature_Cell_YPA,ton per acre per yr,calculates &quot;on the field&quot; yield for not-yet-mature perennial cellulosic energy crops,array | sector interface,,
FS.Non_Mature_Cell_YPA_Pasture,ton per acre per yr,calculates &quot;on the field&quot; yield for not-yet mature perennial cellulosic energy crops grown on pasture land,array | sector interface,,
FS.Old_Practice_Producers_PCT_by_Region,Unitless,stock that tracks the fraction of producers who are &quot;old practice&quot; that does not include cellulosic feedstock production,array | sector interface,,
FS.one_million,per million,one million,scalar | constant |unit conversion,,
FS.one_thousand,per thousand,100 10s,scalar | constant | unit conversion,,
FS.Pasture_Acres_Hvsted_for_Cell,acres,pasture acres that are in pasture and harvested as herbaceous cellulosic energy crops,array | internal calculation | sector interface,,
FS.Pasture_as_Cellose_RAT,Unitless,"Output of nested logit calculation, calculating the relative attractiveness (AKA share of respective land base) of pasture land used as pasture",array | internal calculation,,
FS.Pasture_as_Pasture_RAT,Unitless,"Output of nested logit calculation, calculating the relative attractiveness (AKA share of respective land base) of pasture harvested as cellulosic feedstocks",array | internal calculation,,
FS.Pasture_Cell_in_Dev_PCT,Unitless,Conveyor that accounts for fraction of pasture land that is represented by perennial cellulosic energy crops that are in development,array | internal calculation | sector interface,,
FS.Pasture_Cell_in_Prodn_Pct,Unitless,Conveyor that accounts for fraction of pasture land that is represented by perennial cellulosic energy crops that are in production with mature crops,array | internal calculation | sector interface,,
FS.Pasture_HC_Pref_Share,Unitless,Calculates the target or preference share of pasture land that is desired (based on logit input) to be allocated to perennial cellulosic energy crops,array | internal calculation,,
FS.Pasture_HC_RAT,Unitless,"Output of nested logit calculation, calculating the relative attractiveness (AKA share of respective land base) pasture allocated to herbaceous cellulosic energy crops",array | internal calculation,,
FS.Pasture_Land_Alloc_Forage_Prodn,thousand acres,calculates quantity of pasture land allocated to the production of forage,array | internal calculation,,
FS.Pasture_Land_by_Region,thousand acres,"stock that tracks the total amount of pasture land in the system, by region",array | internal calculation | sector interface,,
FS.Pasture_PCEC_est_land_end,acre/yr,outflux from conveyor used to track BCAP establishment acres in the GP module,array | internal calculation,,
FS.Pasture_PCEC_establish_acres,acres,conveyor used to track BCAP establishment acres in the GP module,array | module interface,,
FS.Pasture_PCEC_land_start,acre/yr,influx to conveyor used to track BCAP establishment acres in the GP module,array | internal calculation,,
FS.Pasture_PCT_Pasture,Unitless,Stock that tracks the fraction of pasture land base that is treated as pasture (vs planted for perennial cellulosic energy crop),array | internal calculation,,
FS.Pasture_Switching,Unitless,housekeeping stock (that should stay at 0 at all times) that ensures conservation of land base,array | internal calculation,,
FS.Pasture_YPA,ton per acre per yr,module interface to GP.Hay YPA,array | module interface,,
FS.PCEC_harvest_storage_efficiency_factor,Unitless,storage and efficiency factor for perennial cellulosic energy crops,array | internal calculation,,
FS.PCEC_prodn_ag_acres,million-ton/yr,perennial cellulosic energy crop production from active cropland,Array | Internal Calculation | Module Interface,,
FS.PCEC_prodn_pasture_acres,million-ton/yr,perennial cellulosic energy crop production frompasture land,Array | Internal Calculation | Module Interface,,
FS.potential_for_moving_to_new_practice,Unitless,"calculates fraction of producers who potentially could move from old practice to new practice, based on stock of old practice producers and status of regional conversion industry",array | internal calculation,,
FS.Potential_Prodn_Cell_Pipeline,million-ton/yr,rough calculation of amount of annual cellulosic production represented by acres in development.  Weighting factor minimizes lumpy effect of woody feedstocks in downstream calculations,array | internal calculation,,
FS.potential_residue_prodn,ton per year,"calculates potential residue production given residue yields, weather impacts, and the fraction of producers for whom residue production is an option",Array | Internal Calculation | Module Interface,,
FS.potential_residue_producing_acres,acres,"calculates potential residue producing acres, given the fraction of producers for whom residue production is an option",array | internal calculation | sector interface,,
FS.Practice_Gap,Unitless,"calculates difference between actual and eligible for cellulosics, based on penetration of industry.",array | internal calculation,,
FS.Practice_Weighted_Attr_HerbCell_Pasture,Unitless,"calculates attractiveness (part of logit formulation) of perennial cellulosic energy crops, after accounting for fraction of producers for whom cellulosic feedstock production is an option",array | internal calculation,,
FS.Practice_Weighted_Attr_Pasture_as_Cellulose,Unitless,"calculates attractiveness (part of logit formulation) of producing commodity crops, for that fraction of producers for whom cellulosic feedstock production is an option",array | internal calculation,,
FS.Practice_Wtd_Annual_Attr,Unitless,"calculates attractiveness (part of logit formulation) of producing perennial cellulosic energy crops, for that fraction of producers for whom cellulosic feedstock production is an option",array | internal calculation,,
FS.Practice_wtd_PCEC_Attr,Unitless,"calculates attractiveness (part of logit formulation) of producing commodity crops, for that fraction of producers for whom cellulosic feedstock production is an option",array | internal calculation,,
FS.Practice_Wtd_RAT_Crop,Unitless,"component of nested logit calculation, calculating the relative attractiveness (AKA share of respective land base) of active cropland operated by new practice producers, of annual (commodity) crops",array | internal calculation,,
FS.Pref_Share_to_Annual,Unitless,"component of nested logit calculation, calculating the relative attractiveness (AKA share of respective land base) of active cropland operated that is allocated to annual (commodity) crops",array | internal calculation,,
FS.Pref_Share_to_Crops_and_PCEC,Unitless,"Calculates the residual share of land that is desired to be allocated to annual crops and  perennial cellulosic energy crops, after accounting for allocation of land to hay",array | internal calculation,,
FS.pref_share_to_hay,Unitless,Calculates the target or preference share of active cropland that is desired (based on logit input) to be allocated to hay,array | internal calculation,,
FS.Pref_Share_to_PCEC,Unitless,Calculates the target or preference share of active cropland that is desired (based on logit input) to be allocated to perennial cellulosic energy crops,array | internal calculation,,
FS.RAT_Annual_no_Res,Unitless,"component of nested logit calculation, calculating the relative attractiveness (AKA share of respective land base) of active cropland allocated to annual (commodity) crops, and which is not producing residue feedstocks",array | internal calculation,,
FS.RAT_Annual_with_Res,Unitless,"component of nested logit calculation, calculating the relative attractiveness (AKA share of respective land base) of active cropland allocated to annual (commodity) crops, and which is producing residue feedstocks",array | internal calculation,,
FS.RAT_PCEC,Unitless,"component of nested logit calculation, calculating the relative attractiveness (AKA share of respective land base) of active cropland allocated to perennial cellulosic energy crops",array | internal calculation,,
FS.rate_of_migration_to_active,per year,assumed rate at which conservation reserve program (CRP) land migrates to active cropland.  Enabled only when &quot;move CRP land to active land&quot; switch is set to 1,array | constant | scenario input,,
FS.Regional_Cellulosic_Crop_Switches,Unitless,0-1 switches that herbaceous and/or woody feedstocks in each region,array | constant,,
FS.removing_from_production,acres-thousand/yr,calculates annual removal of crop land from production due to economic considerations,array | internal calculation,,
FS.Res_Prodn_ag_acres,million-ton/yr,total regional agricultural residue production from agricultural land,array | internal calculation,,
FS.residue_switches,unitless,module interface to GP.residue switches,array | module interface,,
FS.Residue_YPA,ton per acre per yr,module interface to GP.Residue YPA,array | module interface,,
FS.Rollup_Indicated_Land_Distn_Annual,Unitless,"fraction of total land allocated to annual crops and perennial cellulosic energy crops, that is desired to be allocated to annual crops",array | internal calculation,,
FS.Rollup_Indicated_Land_Distn_PCEC,Unitless,indicated or desired amount of land that is desired to be allocated to perennial cellulosic energy crops,array | internal calculation,,
FS.rollup_net_residue_GPPA,dollars per acre per yr,"calculates aggregate average per-acre grower payment, across all ag residues",array | internal calculation,,
FS.Share_Pasture_Land_Forage,Unitless,calculates fraction of pasture land that is in forage,array | internal calculation,,
FS.Share_Pasture_Land_in_Pasture_Hvested_for_Cellulose,Unitless,"calculates fraction of pasture land that is in pasture, but is harvested for cellulosic feedstocks",array | internal calculation,,
FS.Switched_GPPA_from_cellulosic_energy_crop,dollars per acre per yr,sets potential grower payent per acre for cellulosic energy crops based on which crops are available in the region,array | internal calculation,,
FS.Switching,Unitless,housekeeping stock (that should stay at 0 at all times) that ensures conservation of land base,array | internal calculation,,
FS.Tot_Attr_Annual_no_Res,Unitless,component of logit calculation. Sums attractiveness of different annual crops,array | internal calculation,,
FS.Tot_Attr_Annual_with_Res,Unitless,component of logit calculation. Sums attractiveness of different annual crops that are also used to produce residues,array | internal calculation,,
FS.Tot_Attr_PCEC,Unitless,component of logit calculation. Sums attractiveness of perennial cellulosic energy crops,array | internal calculation,,
FS.tot_class_attr,Unitless,"sums together attractiveness of annual crops, hay, and perennial cellulosic energy crops",array | internal calculation,,
FS.Tot_HC_YPA_in_dev,ton per acre per yr,part of co-flow structure used to track &quot;in the field&quot; yields for herbaceous cellulosic feedstocks,array | internal calculation,,
FS.Tot_HC_YPA_in_dev_P,ton per acre per yr,part of co-flow structure used to track &quot;in the pasture&quot; yields for herbaceous cellulosic feedstocks,array | internal calculation,,
FS.Tot_HC_YPA_in_Prodn_P,ton per acre per yr,part of co-flow structure used to track &quot;in the pasture&quot; yields for herbaceous cellulosic feedstocks,array | internal calculation,,
FS.tot_PCT_acres_deallocating,per year,calculates annual fraction of land base that is deallocating (from annual crops or perennial cellulosic energy crops,array | internal calculation,,
FS.Total_Available_Land_Base,thousand acres,sums together active crop land and pasture land,array | internal calculation,,
FS.Total_Cellulosic_PCT,Unitless,calculates the total fraction of ag land that is in production or in development for perennial cellulosic energy crops,array | internal calculation,,
FS.Total_HC_YPA_In_Prodn,ton per acre per yr,part of co-flow structure used to track &quot;in the field&quot; yields for herbaceous cellulosic feedstocks,array | internal calculation,,
FS.TOTAL_Overall_Pasture_Attractiveness,Unitless,"sums together (logit) attractiveness components for pasture as cellulosic feedstock, pasture as pasture forage, and pasture as perennial cellulosic energy crop",array | internal calculation,,
FS.total_pasture_PCEC,Unitless,calculates the total fraction of pasture land that is in production or in development for perennial cellulosic energy crops,array | internal calculation,,
FS.total_PCT_acres_dealloc,per year,calculates annual fraction of pasture land base that is deallocating (from pasture or perennial cellulosic energy crops,array | internal calculation,,
FS.total_PCT_active_land,Unitless,checksum that ensures all land is being used by region.,array | internal calculation,,
FS.total_required_cellulosic_acres,thousand acres,module interface to FM.Reqd feedstock shed area,array | module interface,,
FS.Urban_Res_Grower_Payment,USD per ton,module interface to GP.UrbanRes GP,array | module interface,,
FS.Urban_Res_Grower_Payment_1,USD per ton,module interface to GP.ForRes GP,array | module interface,,
FS.urban_residue_prodn,million-ton/yr,ORNL-derived supply curve relating per-ton grower payment to regional urban residues production,array | graphical function,,
FS.urban_residue_prodn_by_region,million-ton/yr,calculates net urban residue production by region,array | internal calculation,,
FS.urban_residue_transport_storage_efficiency_factor,unitless,module interface to FL.forest residue transport storage efficiency factor,array | module interface,,
FS.w_annual,Unitless,Logit parameter used to capture &quot;non-$&quot; based component of utility by region for the class of annual crops,array | constant | assumed value,,
FS.w_hay,Unitless,Logit parameter used to capture &quot;non-$&quot; based component of utility by region for the class of hay land,array | constant | assumed value,,
FS.w_PCEC,Unitless,Logit parameter used to capture &quot;non-$&quot; based component of utility by region for the class of perennial cellulosic energy crops,array | constant | assumed value,,
